FORMATNAME;Формат 6.3.2;
TYPEZ;О;
FNAME;O632;
ZAPV;В6.3.2;
BEGIN;;
NPERS;14;Страховой номер индивидуального лицевого счета застрахованного лица (СНИЛС):999-999-999 99 (п. 3 примечаний)
OKATO;8;Код региона по ОКАТО (п. 4 примечаний)
REG;3;Код ОПФР (п. 4 примечаний)
RA;3;Код района (по классификатору территориальных органов  ПФР)
FAM;40;Фамилия
IM;40;Имя
OT;40;Отчество (в случае отсутствия отчества по документам, удостоверяющим личность гражданина, заполняется пробелами)
POL;1;Пол (М/Ж)
RDAT;10;Стандартная дата рождения: ГГГГ/ММ/ДД (п. 5 примечаний)
RSTRANA;40;Страна рождения (п. 6 примечаний)
TIPMESR;11;Тип места рождения(п. 7 примечаний)
RREG;40;Регион рождения (Республика, край, область)(п. 8 примечаний)
RRA;40;Район рождения  (п. 9 примечаний)
RNP;40;Населенный  пункт  места  рождения  (город, село, деревня, …) (п. 10 примечаний)
GRAJD;40;Гражданство (п. 11 примечаний)
KODFP;1;Код формы проживания, если иностранный гражданин или лицо без гражданства (1 - имеет вид на жительство, 0 - не имеет вид на жительство, пробел, (п. 12 примечаний)) 
KODDOC;14;Код документа, удостоверяющего личность (п.13 примечаний)
SERDOC;9;Серия документа, удостоверяющего личность (п.13 примечаний)
NOMDOC;8;Номер документа, удостоверяющего личность (п.13 примечаний)
DATVDOC;10;Дата выдачи документа, удостоверяющего личность: ГГГГ/ММ/ДД (п.14 примечаний)
ORGDOC;80;Наименование органа, выдавшего документ, удостоверяющий личность
MRINDEX;6;Почтовый индекс места регистрации (п. 15 примечаний)
MRREG;50;Регион места жительства (п. 15 примечаний)
MRRA;50;Район места жительства (п. 15 примечаний)
MRNP;50;Населенный пункт места жительства (п. 15 примечаний)
MRUL;40;Улица места жительства (п. 15 примечаний)
MRDOM;8;Дом места жительства (п. 15 примечаний)
MRKORP;15;Корпус места жительства (п. 15 примечаний)
MRKVA;6;Квартира места жительства (п. 15 примечаний)
FPINDEX;6;Почтовый индекс фактического места пребывания (п. 15 примечаний)
FPREG;50;Регион фактического места пребывания (п. 15 примечаний)
FPRA;50;Район фактического места пребывания (п. 15 примечаний)
FPNP;50;Населенный пункт фактического места пребывания(п. 15 примечаний)
FPUL;40;Улица фактического места пребывания (п. 15 примечаний)
FPPDOM;8;Дом фактического места пребывания (п. 15 примечаний)
FPKORP;15;Корпус фактического места пребывания (п. 15 примечаний)
FPKVA;6;Квартира фактического места пребывания (п. 15 примечаний)
NP;1;Место фактического проживания: Г - город, С - село(п. 16 примечаний)
KOLLG;3;Количество записей о праве на получение ЕДВ (п.17 примечаний)
L1;3;Код категории, по которой гражданину установлена ЕДВ (за исключением граждан, указанных в статье 6.7 Федерального закона от 17.07.1999 № 178-ФЗ). Нули (000) - такой категории нет (п. 18 примечаний)
L2;3;Код категории, по которой гражданину установлена ЕДВ (для граждан, указанных в статье 6.7 Федерального закона от 17.07.1999 № 178-ФЗ). Нули (000) - такой категории нет(п. 18 примечаний)
N1;1;Признак получения (отказа от) набора социальных услуг в текущем году  № 1: Д - получает, Н - не получает (п.19 примечаний)
N2;1;Признак получения (отказа от) набора социальных услуг в текущем году  № 2:  Д - получает, Н - не получает (п. 20 примечаний)
N3;1;Признак получения (отказа от) набора социальных услуг в текущем году  № 3:  Д - получает, Н - не получает (п. 21 примечаний)
DATFED;10;Дата включения в Федеральный регистр: ГГГГ/ММ/ДД (п.22 примечаний)
DIF;10;Дата исключения из Федерального регистра: ГГГГ/ММ/ДД (п.23 примечаний)
DATREG;10;Дата включения в региональный сегмент Федерального регистра: ГГГГ/ММ/ДД (п.24 примечаний)
DIRE;10;Дата исключения из регионального сегмента Федерального регистра: ГГГГ/ММ/ДД (п. 25 примечаний)
KIZ;2;Код изменения получателя ЕДВ (п. 26 примечаний)
PENSION;1; Признак получения пенсии в ПФР (Д - пенсионер, Н - нет, В - получатель пенсии в ПФР и (или) другом ведомстве 
SUMEDV;15;Общая сумма установленной ЕДВ(учитывается сумма ЕДВ1 и сумма ЕДВ2) за вычетом размера НСУ
SUMEDV1;15;Размер установленной ЕДВ 1(по категории, указанной в поле 41), включая стоимость набора НСУ
SUMEDV2;15;Размер установленной ЕДВ 2( по категории, указанной в поле 42), включая стоимость набора НСУ
TEL;20;Контактный телефон
LN;14;Номер выплатного дела получателя  ЕДВ
NSU1;1;Признак получения (отказа от) набора социальных услуг № 1 на следующий год:Д - получает, Н - не получает, (п. 27 примечаний)
NSU2;1;Признак получения (отказа от) набора социальных услуг № 2 на следующий год:Д - получает, Н - не получает, (п. 27 примечаний)
NSU3;1;Признак получения (отказа от) набора социальных услуг № 3 на следующий год:Д - получает, Н - не получает, (п. 27 примечаний)
PRIM;100;Пояснения  к информации (п. 39 примечаний)
REZERV;30;СНИЛС, либо сведения о его регистрации, отказе  (п. 29 примечаний)
ISEDV;3;"Категория получателя (""ЕДВ"" - получатель ежемесячной денежной выплаты, пробел - получателем ежемесячной денежной выплаты не является)"
ISPENSION;4;"Категория получателя (""ПЕНС"" - получатель пенсии, пробел - получателем пенсии не является)"
SDPKATEG;2;Категория получателя социальной доплаты (таблица 11) 
KOLZM;3;"Количество  записей о мерах социальной поддержки (запись типа ""М"")"
OPEKA;1;"Признак наличия сведений о законном представителе (опекун, попечитель, родитель) лица, либо о его представителе по доверенности (""Д"" / ""Н"")   "
SDPFROM;10;"Дата, с которой необходимо представить (представлены) сведения о мерах социальной поддержки (запись типа ""М""), либо об изменениях пенсионных и других социальных выплат (запись типа ""С"") - ГГГГ/ММ/ДД (п. 37 примечаний)"
SDPTO;10;"Дата,  по которую необходимо представить (представлены) сведения о мерах социальной поддержки (запись типа ""М""), либо об изменениях пенсионных и других социальных выплат (запись типа ""С"") - ГГГГ/ММ/ДД (п. 37 примечаний)."
KOLZS;3;"Запись о праве гражданина на получение социальной доплаты к пенсии (запись типа ""С"") 0-не является получателем СДП, 1-является получателем СДП"
REGTYPE;1;"Вид регистрации получателя социальной доплаты (""В"" - временная регистрация, ""П"" - постоянная регистрация, ""Б""-без определенного места жительства)"
RAB;3;"Признак работы пенсионера (""НЕТ"" - неработающий,   ""ДА"" - работающий) "
REGMIN;15;Прожиточный минимум пенсионера в субъекте Российской Федерации
FEDMIN;15;Прожиточный минимум пенсионера в Российской Федерации
RDATNS;10;Нестандартная дата рождения: ГГГГ/ММ/ДД (п. 5 примечаний)
NUMSDP;14;Номер выплатного дела получателя социальной доплаты к пенсии (п. 48 примечаний)
KIZSDP;2;Код изменения получателя социальной доплаты к пенсии (п. 28 примечаний)
DEATHDAT;10;Дата смерти: ГГГГ/ММ/ДД
GER1;3;Код категории, по которой гражданину установлена ЕДВ (для граждан,  указанных в  статье 9.1 Закона Российской Федерации от 15.01.1993 № 4301-1).  Нули (000) - такой категории нет (п. 17 примечаний)
GER2;3;Код категории, по которой гражданину установлена ЕДВ (для граждан,  указанных в статье 6.2 Федерального закона от 09.01.1997 № 5-ФЗ).  Нули (000) - такой категории нет (п. 17 примечаний)
SUMGER1;15;Размер установленной ЕДВ 3
SUMGER2;15;Размер установленной ЕДВ 4
INV;1;"Признак наличия сведений об инвалидности (""Д"" / ""Н"")"
KODMO;10;Код муниципального образования: 99 999 999(п. 42 примечаний)
NAMEMO;100;Наименование муниципального образования (п. 42 примечаний)
FAMROGD;40;Фамилия, которая была у гражданина при рождении( п. 43 примечаний)
ZASLUGA1;2;Особая заслуга-1 (классификатор-см. таблица 26)
ZASLUGA2;2;Особая заслуга-2 (классификатор-см. таблица 26)
ZASLUGA3;2;Особая заслуга-3 (классификатор-см. таблица 26)
ZASLUGA4;2;Особая заслуга-4 (классификатор-см. таблица 26)
ZASLUGA5;2;Особая заслуга-5 (классификатор-см. таблица 26)
ZASLUGA6;2;Особая заслуга-6 (классификатор-см. таблица 26)
PRVIB;2;Причина выбытия( классификатор-см. таблица 27)
DATEVIB;10;Дата выбытия(ГГГГ/ММ/ДД)
DATEZA;10;Дата закрытия пенсионного дела( п. 49 примечаний)
KODIZM;2;Код изменения получателя пенсии (п. 50 примечаний)
KODPOZ;1;"Код категории базы ""Поздравлений"" (п. 52 примечаний)"
KODBIT;9;Код участия в битвах (п. 53 примечаний)
PRIMPOZ;100;"Примечание базы ""Поздравлений"" (п. 54 примечаний)"
REZERV1;10;Резерв
REZERV2;10;Резерв
END;;
TYPEZ;Л;
FNAME;L632;
BEGIN;;
KATEG;3;Код категории, в соответствии с которой гражданин имеет право на ЕДВ (п. 31 примечаний)
NAMEPUD;80;Наименование документа, подтверждающего право на ЕДВ
SERPUD;8;Серия документа, подтверждающего право на ЕДВ
NOMPUD;10;Номер документа, подтверждающего право на ЕДВ
DATVPUD;10;Дата выдачи документа, подтверждающего право на ЕДВ:ГГГГ/ММ/ДД  (п. 32 примечаний)
ORGPUD;80;Наименование органа, выдавшего документ, подтверждающего право на ЕДВ
DNAZ;10;Дата назначения ЕДВ-ГГГ/ММ/ДД (п. примечаний 55)
DPRRE;10;Дата принятия решения о назначении ЕДВ- ГГГГ/ММ/ДД (п. 55 примечаний)
DNLG;10;Дата начала действия права на ЕДВ:ГГГГ/ММ/ДД (п. 33 примечаний)
DKLG;10;Дата окончания действия права на ЕДВ:ГГГГ/ММ/ДД (п.34 примечаний)
